"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
